Thick,Quality,Ceramic,Marble,Quartz,
4,20%(Xfine)," 2,301.56 ", 990.35 ," 1,182.59 ",
4,40%(Fine)," 4,603.12 "," 1,980.70 "," 2,365.18 ", 686.74 
4,60%(Mid)," 6,904.71 "," 2,971.06 "," 3,547.79 "," 1,373.48 "
4,80%(Rough)," 9,206.27 "," 3,961.41 "," 4,730.38 "," 2,060.22 "
4,100%(Xrough)," 11,507.87 "," 4,951.78 "," 5,912.98 "," 2,747.02 "
8,20%(Xfine)," 1,406.19 ", 605.08 , 722.53 ," 3,433.76 "
8,40%(Fine)," 2,809.07 "," 1,208.73 "," 1,443.36 ", 374.45 
8,60%(Mid)," 4,218.60 "," 1,815.24 "," 2,167.60 ", 748.89 
8,80%(Rough)," 5,624.82 "," 2,420.33 "," 2,890.15 "," 1,123.40 "
8,100%(Xrough)," 7,031.04 "," 3,025.42 "," 3,612.70 "," 1,497.85 "
10,20%(Xfine)," 1,106.05 ", 475.93 , 568.31 ," 1,872.30 "
10,40%(Fine)," 2,212.10 ", 951.86 ," 1,136.62 ", 171.19 
10,60%(Mid)," 3,318.15 "," 1,427.78 "," 1,704.94 ", 342.45 
10,80%(Rough)," 4,424.23 "," 1,903.73 "," 2,273.26 ", 513.64 
10,100%(Xrough)," 5,530.28 "," 2,379.65 "," 2,841.58 ", 684.90 
12,20%(Xfine), 905.96 , 389.83 , 465.50 , 856.15 
12,40%(Fine)," 1,811.92 ", 779.66 , 931.00 , 103.44 
12,60%(Mid)," 2,717.87 "," 1,169.49 "," 1,396.50 ", 206.94 
12,80%(Rough)," 3,623.83 "," 1,559.32 "," 1,862.00 ", 310.45 
12,100%(Xrough)," 4,529.79 "," 1,949.15 "," 2,327.50 ", 413.89 
20,20%(Xfine), 505.74 , 217.62 , 259.86 , 517.39 
20,40%(Fine)," 1,011.51 ", 435.25 , 519.74 , 49.24 
20,60%(Mid)," 1,517.29 ", 652.88 , 779.61 , 98.54 
20,80%(Rough)," 2,023.03 ", 870.50 ," 1,039.47 ", 147.84 
20,100%(Xrough)," 2,528.80 "," 1,088.13 "," 1,299.35 ", 197.15 
